ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
95,Civitas Resources Inc,Civitas Resources Inc,Civitas Resources,1,Parent,,,USA,E&P Company,,"75,21",USA,"99,63%",0%,0%,0%,0%,0%,"99,63%","706,06",USA,100%,"69,43%","56,61",USA,100%,exact number,FY22,,,,,100753,124,CIVI.K
96,Harbour Energy plc,Harbour Energy plc,Harbour Energy,1,Parent,,,United Kingdom,Independent,,74,"Indonesia, United Kingdom, Vietnam",0%,0%,0%,0%,0%,0%,0%,"131,31","Mexico, United Kingdom",not applicable,"88,28%","156,57","Brazil, Falkland Islands (UK), Indonesia, Mexico, Norway, United Kingdom, Vietnam","98,54%",exact lower bound,FY22,,,,,100107,263,HBR.L
97,Murphy Oil Corporation,Murphy Oil Corporation,Murphy,1,Parent,,,USA,Independent,,"72,85","Canada, USA","54,15%",0%,0%,0%,"19,24%",0%,"73,4%","251,34","Brunei, Canada, USA","91,99%","65,05%","108,63","Australia, Brazil, Brunei, Canada, Cote d'Ivoire, Mexico, USA, Vietnam","99,37%",exact lower bound,FY22,,,,,100100,381,MUR.N
98,Gulfport Energy Corporation,Gulfport Energy Corporation,Gulfport,1,Parent,,,USA,Independent,,"70,79",USA,100%,0%,0%,0%,0%,0%,100%,"254,93",USA,100%,"49,81%","14,42",USA,100%,exact number,FY22,,,,,100099,259,GPOR.K
99,Vietnam Oil and Gas Group (PetroVietnam),Vietnam Oil and Gas Group (PetroVietnam),Vietnam Oil and Gas(PetroVietnam),1,Parent,,,Vietnam,INOC,,"70,54","Algeria, Malaysia, Mongolia, Peru, Russia, Vietnam",0%,0%,0%,0%,0%,"15,82%","15,82%","429,25",Vietnam,not applicable,100%,"14,48","Cambodia, Republic of the Congo, Cuba, Malaysia, Mongolia, Peru, Russia, Venezuela, Vietnam",90%,estimated lower bound interval,,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100103,,100103,673,5000061087
100,SM Energy Company,SM Energy Company,SM Energy,1,Parent,,,USA,Independent,,"67,2",USA,"99,5%",0%,0%,0%,0%,0%,"99,5%","379,63",USA,100%,"67,3%","123,85",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100110,,100110,572,SM.N
101,Irkutsk Oil Company LLC,Irkutsk Oil Company LLC,Irkutsk Oil,1,Parent,,Ownership data not available,Russia,Independent,,"65,43",Russia,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"4,9",Russia,90%,estimated lower bound interval,,,,,,100101,299,4298010207
102,National Fuel Gas Company,National Fuel Gas Company,National Fuel Gas,1,Parent,,,USA,Industrial,,"64,55",USA,"97,7%",0%,0%,"2,01%",0%,0%,"99,71%","494,21",USA,100%,"52,21%","47,63",USA,"99,81%",estimated lower bound,FY21-22,,,,,100126,384,NFG.N
103,Crescent Energy Company,Crescent Energy Company,Crescent Energy,1,Parent,,,USA,E&P Company,,"64,52",USA,"81,05%",0%,0%,0%,0%,0%,"81,05%","259,37",USA,100%,"74,78%","16,92",USA,"99,14%",estimated lower bound,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100667,,100667,148,CRGY.K
104,PJSC RussNeft,PJSC RussNeft,RussNeft,1,Parent,,NK RUSSNEFT' PAO,Russia,Integrated,,"62,64",Russia,0%,0%,0%,"2,29%",0%,0%,"2,29%","102,29",Russia,not applicable,100%,"7,06",Russia,"98,69%",exact lower bound,FY22,,,,,100113,486,RNFT.MM
105,PT Medco Daya Abadi Lestari,PT Medco Daya Abadi Lestari,MedcoEnergi(Medco),0.52,Parent,,,Indonesia,Industrial,,"61,37","Indonesia, Oman, Thailand, Vietnam, Yemen",0%,0%,0%,"1,9%",0%,0%,"1,9%","94,78",Indonesia,not applicable,"89,38%","18,15","Indonesia, Libya, Malaysia, Mexico, Oman, Tanzania, Thailand, Vietnam, Yemen","96,73%",estimated lower bound,FY22,,,,,100143,500,MEDC.JK
106,Trinity Operating LLC,Trinity Operating LLC,Trinity,1,Parent,,Ownership data not available,USA,Independent,,"60,76",USA,"99,96%",0%,0%,0%,0%,0%,"99,96%","108,96",USA,100%,"52,37%","63,77",USA,90%,estimated lower bound interval,,,,,,100175,639,5083317758
107,Korea Gas Corporation (KOGAS),Korea Gas Corporation (KOGAS),Korea Gas(KOGAS),1,Parent,,Not found,South Korea,Industrial,,"60,65","Australia, Canada, Indonesia, Iraq, Mozambique, Myanmar, Qatar, Uzbekistan","0,17%",0%,"8,27%",0%,"0,3%",0%,"8,75%","36,36","Canada, Indonesia, Myanmar","22,01%","80,92%","7,24","Australia, Cyprus, Indonesia, Myanmar","95,04%",exact lower bound,FY21,"Cabo Delgado, Myanmar Military","Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100114,,100114,332,036460.KS
108,Delek Group Ltd,Delek Group Ltd,Delek,1,Parent,,Ownership data not available,Israel,Industrial,,"60,55","Israel, United Kingdom, USA",0%,0%,0%,"0,66%","50,85%",0%,"51,51%","237,24","Israel, United Kingdom","81,83%","93,25%","61,44","Canada, Cyprus, Iceland, Israel, United Kingdom, USA","99,9%",exact lower bound,FY22,,,,,100118,162,DLEKG.TA
109,Encino Energy LLC,Encino Energy LLC,Encino,1,Parent,,Ownership data not available,USA,Independent,,"59,91",USA,100%,0%,0%,0%,0%,0%,100%,"248,4",USA,100%,"82,94%","33,42",USA,90%,estimated lower bound interval,,,,,,100123,196,5040046971
110,Government of Pakistan,Oil and Gas Development Company Ltd (OGDC),Oil and Gas Development(OGDCL),0.67,Parent,,,Pakistan,NOC,,"59,18",Pakistan,0%,0%,0%,0%,0%,0%,0%,"20,09",Pakistan,0%,100%,"61,46","Pakistan, UAE",100%,exact number,FY22,,,,,100091,416,OGDC.PSX
111,Diversified Energy Company PLC,Diversified Energy Company PLC,Diversified Energy,1,Parent,,,USA,Independent,,"59,15",USA,"69,08%",0%,"1,57%",0%,0%,0%,"70,65%","90,45",USA,100%,"49,78%","2,87",USA,100%,exact number,FY22,,,,,100153,173,DEC.L
112,Government of Dubai,Emirates National Oil Company Ltd (ENOC) LLC,Emirates National Oil(ENOC),1,Parent,,Holding 100%,UAE,INOC,,"58,94","Egypt, Iraq, Turkmenistan",0%,0%,0%,0%,0%,0%,0%,"387,85","Egypt, Iraq, Turkmenistan",not applicable,100%,"3,43","Afghanistan, Algeria, Egypt, Iraq, Turkmenistan",NA,data unavailable,,,,,,100127,190,5000023925
113,CrownQuest Operating LLC,CrownQuest Operating LLC,CrownQuest,1,Parent,,Ownership data not available,USA,Independent,,"57,73",USA,"98,66%",0%,0%,0%,0%,0%,"98,66%","449,94",USA,100%,"72,97%","90,5",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100177,,100177,155,4298088714
114,Chord Energy Corporation,Chord Energy Corporation,Chord,1,Parent,,,USA,Independent,,"57,01",USA,"99,91%",0%,0%,0%,0%,0%,"99,91%","312,4",USA,100%,"69,93%","16,19",USA,"99,99%",exact lower bound,FY22,,,,"After merging with Oasis Petroleum Inc (also on GOGEL) in July 2022, Whiting Petroleum Corporation now operates under the name of Chord Energy Corporation. Historical production and exploration figures for the period before the merger take only Whiting Petroleum's activities into account.",100140,118,CHRD.O
115,KAR Group,KAR Group,KAR,1,Parent,,Ownership data not available,Iraq,NOC,,"55,71",Iraq,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,0,,NA,data unavailable,,,,,,100719,321,5039718162
116,Matador Resources Company,Matador Resources Company,Matador,1,Parent,,,USA,Independent,,"54,51",USA,100%,0%,0%,0%,0%,0%,100%,"354,74",USA,100%,"75,84%","101,32",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100157,,100157,363,MTDR.K
117,PJSC Joint Stock Oil Company Bashneft,PJSC Joint Stock Oil Company Bashneft,Bashneft,1,Parent,,Russian - to be checked,Russia,Integrated,,"54,09",Russia,0%,0%,0%,0%,0%,"6,32%","6,32%","52,09",Russia,"99,17%","0,83%","98,15","Iraq, Myanmar, Russia",90%,estimated lower bound interval,,,,,,100150,482,BANE.MM
118,Tecpetrol Internacional SLU,Tecpetrol Internacional SLU,Tecpetrol,1,Parent,,Ownership data not available,Spain,Industrial,,"53,67","Argentina, Bolivia, Colombia, Ecuador, Mexico, Peru, Venezuela","50,89%",0%,0%,"4,48%",0%,0%,"55,37%","187,6",Argentina,100%,"92,59%","21,1","Argentina, Colombia, Mexico, Peru",90%,estimated lower bound interval,FY22,"Vaca Muerta, Amazon Oil and Gas Drilling","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100151,,100151,614,4296543172
119,Whitecap Resources Inc,Whitecap Resources Inc,Whitecap,1,Parent,,,Canada,Independent,,"53,6",Canada,"59,91%",0%,0%,"0,96%",0%,0%,"60,87%","180,8",Canada,100%,"82,06%","16,31",Canada,"99,25%",exact lower bound,FY22,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100206,,100206,687,WCP.TO
120,Tug Hill Operating LLC,Tug Hill Operating LLC,Tug Hill,1,Parent,,Ownership data not available,USA,Independent,,"53,2",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,"63,01",USA,90%,estimated lower bound interval,,,,,,100159,643,5042310913
121,BKV Corporation LLC,BKV Corporation LLC,BKV,1,Parent,,Ownership data not available,USA,E&P Company,,"51,86",USA,"94,78%",0%,0%,0%,0%,0%,"94,78%","79,15",USA,100%,"57,11%","4,48",USA,90%,estimated lower bound interval,,,,,,100224,56,BKV.N
122,Neptune Energy Group Ltd,Neptune Energy Group Ltd,Neptune,1,Parent,,,United Kingdom,Independent,,"50,56","Algeria, Egypt, Germany, Indonesia, Netherlands, Norway, United Kingdom","1,55%",0%,0%,"0,02%",0%,"6,71%","8,27%","114,08","Germany, Norway, United Kingdom","25,2%","68,55%","141,61","Australia, Denmark, Egypt, Germany, Indonesia, Netherlands, Norway, United Kingdom","99,13%",exact lower bound,FY22,Barents Sea,"Environmental Destruction, Litigation",https://gogel.org/lookup/100112,The company is in the process of being acquired by Eni SpA and Vaar Energi ASA (both on GOGEL). The transactions are expected to close in Q1 2024 and do not include Neptune's operations in Germany.,100112,393,4297282967
123,The South Gas Company,The South Gas Company,South Gas Company,1,Parent,,Not found,Iraq,NOC,,"48,88",Iraq,0%,0%,0%,0%,0%,0%,0%,"159,12",Iraq,not applicable,0%,0,,NA,data unavailable,,,,,,100158,623,5035931212
124,PureWest Energy LLC,PureWest Energy LLC,PureWest,1,Parent,,Ownership data not available,USA,Independent,,"48,63",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,0,,90%,estimated lower bound interval,,,,,,100155,504,5082045265
125,Callon Petroleum Company,Callon Petroleum Company,Callon,1,Parent,,Ownership data not available,USA,Independent,,"48,2",USA,"99,64%",0%,0%,0%,0%,0%,"99,64%","249,85",USA,100%,"69,86%","109,02",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100131,,100131,80,CPE.MX
126,Crescent Point Energy Corp,Crescent Point Energy Corp,Crescent Point,1,Parent,,Not found,Canada,Independent,,"47,71","Canada, USA","88,01%",0%,0%,0%,0%,0%,"88,01%","313,01","Canada, USA",100%,"79,97%","39,3","Canada, USA","99,01%",exact lower bound,FY22,,,,,100136,151,5000056599
127,Brunei Energy Services & Trading Sdn Bhd (BEST),Brunei Energy Services & Trading Sdn Bhd (BEST),Brunei Energy Services & Trading,1,Parent,,Ownership data not available,Brunei,NOC,,"47,49","Brunei, Malaysia",0%,0%,0%,0%,0%,0%,0%,"15,71",Brunei,100%,100%,"0,28",Brunei,90%,estimated lower bound interval,,,,,,100116,71,5074204587
128,Government of India,Oil India Ltd,Oil India,0.57,Parent,,,India,INOC,,"47,33","India, Russia, USA, Venezuela","0,16%",0%,0%,"4,31%",0%,"13,05%","17,52%","239,65","India, Mozambique, Russia, Venezuela","13,21%","37,77%","198,17","Bangladesh, Gabon, India, Israel, Libya, Russia, USA, Venezuela","99,75%",exact lower bound,FY22-23,Cabo Delgado,"Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100163,,100163,418,OILI.NS
129,Government of Abu Dhabi,Abu Dhabi National Energy Company PJSC (TAQA),Abu Dhabi National Energy Company(TAQA),0.77,Parent,,,UAE,Industrial,,"46,9","Canada, Iraq, Netherlands, United Kingdom","41,45%",0%,"3,91%","0,66%",0%,0%,"46,02%","52,12","Canada, Netherlands","98,81%","76,93%","18,57","Canada, Iraq, Netherlands, United Kingdom","96,24%",estimated lower bound,FY22,,,,,100124,5,TAQA.AD
130,Polskie Gornictwo Naftowe i Gazownictwo SA (PGNiG),Polskie Gornictwo Naftowe i Gazownictwo SA (PGNiG),Polskie Gornictwo Naftowe i Gazownictwo(PGNiG),1,Parent,,Ownership data not available,Poland,INOC,,"46,21","Norway, Pakistan, Poland","3,33%",0%,"0,12%",0%,0%,"32,27%","35,73%",0,,0%,not applicable,"69,65","Norway, Pakistan, Poland, Ukraine","92,78%",exact lower bound,FY21,,,,The company was acquired by ORLEN SA (also on GOGEL) in November 2022.,100162,492,PGN.WA^22
131,Exxon Mobil Corporation,Imperial Oil Ltd,Imperial Oil,1,Parent,,,Canada,Integrated,Subsidiary,"45,74",Canada,"3,41%","94,78%",0%,0%,0%,"1,51%","99,69%","298,42",Canada,"99,73%","23,2%","3,37",Canada,100%,exact number,FY22,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100135,,100135,223,IMO.TO
132,JSC NK Neftisa,JSC NK Neftisa,Neftisa,1,Parent,,Ownership data not available,Russia,Independent,,"45,7",Russia,0%,0%,0%,0%,0%,"3,74%","3,74%","38,94",Russia,not applicable,"20,56%","2,39",Russia,"99,96%",exact lower bound,FY22,,,,,100137,314,5001350072
133,Enerplus Corporation,Enerplus Corporation,Enerplus,1,Parent,,Ownership data not available,Canada,Independent,,"45,2","Canada, USA","96,37%",0%,0%,0%,0%,0%,"96,37%","196,23",USA,100%,"70,18%","7,51","Canada, USA","99,98%",exact lower bound,FY22,,,,,100172,203,ERF.TO^F24
134,"Bangladesh Oil, Gas & Mineral Corporation (Petrobangla)","Bangladesh Oil, Gas & Mineral Corporation (Petrobangla)","Bangladesh Oil, Gas & Mineral(Petrobangla)",1,Parent,,Ownership data not available,Bangladesh,NOC,,"45,04",Bangladesh,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"59,6",Bangladesh,"99,24%",exact lower bound,FY21-22,,,,,100122,37,4296933506
135,Government of Iraq,Missan Oil Company,Missan,1,Parent,,Holding 100%,Iraq,NOC,,"45,01",Iraq,0%,0%,0%,0%,0%,0%,0%,"300,98",Iraq,not applicable,"8,28%","0,04",Iraq,90%,estimated lower bound interval,,,,,,100133,373,5035929703
136,BHP Group Ltd,BHP Group Ltd,BHP,1,Parent,,,Australia,Independent,,"44,24","Algeria, Australia, Trinidad and Tobago, USA",0%,0%,0%,"1,29%","12,51%",0%,"13,79%",0,,0%,not applicable,"169,38","Australia, Barbados, Canada, Egypt, Mexico, Trinidad and Tobago, United Kingdom, USA","20,36%",exact number,FY22-23,,,,The company's upstream oil & gas assets were acquired by Woodside Energy Group Ltd (also on GOGEL) in June 2022.,100076,51,BHP.AX
137,Government of Pakistan,Pakistan Petroleum Ltd (PPL),Pakistan Petroleum,0.68,Parent,,,Pakistan,NOC,,"43,09",Pakistan,"1,82%",0%,0%,"0,28%",0%,0%,"2,1%","14,83",Pakistan,not applicable,"97,73%","79,14","Iraq, Pakistan, UAE, Yemen","99,2%",estimated lower bound,FY22,,,,,100119,433,PPL.PSX
138,Pluspetrol Resources Corporation BV,Pluspetrol Resources Corporation BV,Pluspetrol,1,Parent,,Ownership data not available,Netherlands,Integrated,,"42,61","Angola, Argentina, Bolivia, Colombia, Ecuador, Peru, Venezuela","16,55%",0%,0%,"0,73%",0%,0%,"17,28%","50,98",Argentina,100%,"95,92%","40,02","Angola, Argentina, Bolivia, Colombia, Ecuador, Peru, Suriname",90%,estimated lower bound interval,,"Vaca Muerta, Amazon Oil and Gas Drilling","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100156,,100156,490,4298332086
139,Permian Resources Corporation,Permian Resources Corporation,Permian Resources,1,Parent,,,USA,Independent,,"42,41",USA,100%,0%,0%,0%,0%,0%,100%,"332,87",USA,100%,"71,28%","48,61",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100178,"The company, formerly known as Centennial Resource Development Inc, merged with Colgate Energy Partners III LLC (also on GOGEL) to form Permian Resources Corporation in September 2022.",100178,452,PR.N
140,Energie Beheer Nederland BV,Energie Beheer Nederland BV,Energie Beheer,1,Parent,,Ownership data not available,Netherlands,NOC,,"41,45",Netherlands,0%,0%,0%,0%,0%,0%,0%,"39,07",Netherlands,not applicable,100%,"50,38",Netherlands,"99,74%",exact lower bound,FY22,,,,,100111,200,5040259400
141,HG Energy LLC,HG Energy LLC,HG Energy,1,Parent,,Ownership data not available,USA,Independent,,"40,53",USA,100%,0%,0%,0%,0%,0%,100%,"197,15",USA,100%,"48,87%","50,02",USA,90%,estimated lower bound interval,,,,,,100197,274,5038682091
142,Birch Operations Inc,Birch Operations Inc,Birch,1,Parent,,Ownership data not available,USA,Independent,,"40,42",USA,"99,87%",0%,0%,0%,0%,0%,"99,87%","247,07",USA,100%,"84,26%","118,43",USA,NA,data unavailable,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100274,,100274,53,5082044882
143,ITOCHU Corporation,ITOCHU Corporation,ITOCHU,1,Parent,,SEVERAL COMPANIES WITH SAME NAME,Japan,Industrial,,"40,09","Azerbaijan, Iraq, Oman, Qatar, Russia",0%,0%,0%,0%,0%,0%,0%,"323,4","Azerbaijan, Iraq, Russia",not applicable,"96,72%","1,25","Australia, Azerbaijan, Russia",NA,insufficient reporting,FY21-22,,,,,100166,301,8001.T
144,California Resources Corporation,California Resources Corporation,California Resources Corporation,1,Parent,,Ownership data not available,USA,Independent,,"39,97",USA,"0,88%",0%,0%,"40,56%",0%,0%,"41,43%","0,08",USA,100%,0%,"3,67",USA,"98,52%",exact lower bound,FY22,,,,,100129,79,5000003870
145,Azule Energy Holdings Ltd,Azule Energy Holdings Ltd,Azule,1,Parent,,Ownership data not available,Angola,Operating Company,,"39,88",Angola,0%,0%,0%,0%,"7,36%",0%,"7,36%","383,32",Angola,"40,22%","97,02%","61,14",Angola,90%,estimated lower bound interval,,,,,"The company is a standalone 50/50 JV between BP plc and Eni SpA, which has been set up to combine the two companies' Angolan E&P and LNG business activities.",100817,34,5083861565
146,Caerus Oil and Gas LLC,Caerus Oil and Gas LLC,Caerus,1,Parent,,Ownership data not available,USA,Independent,,"39,84",USA,"99,72%",0%,0%,0%,0%,0%,"99,72%",0,,0%,not applicable,"4,75",USA,90%,estimated lower bound interval,,,,,,100146,77,5001431522
147,Waterous Energy Fund,Strathcona Resources Ltd,Strathcona,0.91,Parent,,,Canada,E&P Company,,"39,68",Canada,"25,72%","55,2%",0%,"9,79%",0%,0%,"90,72%","211,78",Canada,"99,29%","92,69%","14,95",Canada,90%,estimated lower bound interval,,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100378,,100378,596,SCR.TO
148,JSC Zarubezhneft,JSC Zarubezhneft,Zarubezhneft,1,Parent,,Russian - to be checked,Russia,INOC,,"38,38","Russia, Uzbekistan, Vietnam",0%,0%,0%,0%,0%,"51,47%","51,47%",0,,0%,not applicable,"48,86","Cuba, Egypt, Indonesia, Russia, Vietnam","99,08%",exact lower bound,FY22,,,,,100184,318,4296633209
149,Terra Energy Partners LLC,Terra Energy Partners LLC,Terra Energy,1,Parent,,Ownership data not available,USA,Independent,,"38,28",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,"1,29",USA,90%,estimated lower bound interval,,,,,,100138,617,5050279862
150,Peyto Exploration and Development Corp,Peyto Exploration and Development Corp,Peyto,1,Parent,,,Canada,Independent,,"37,82",Canada,"91,33%",0%,0%,0%,0%,0%,"91,33%","197,08",Canada,100%,"77,51%","16,65",Canada,100%,exact number,FY22,,,,,100188,471,PEY.TO
151,Vital Energy Inc,Vital Energy Inc,Vital,1,Parent,,,USA,Independent,,"37,55",USA,"98,19%",0%,0%,0%,0%,0%,"98,19%","168,93",USA,100%,"74,61%","39,48",USA,"99,63%",exact lower bound,FY22,,,,"The company, formerly known as Laredo Petroleum Inc, rebranded to Vital Energy Inc in January 2023.",100142,676,VTLE.K
152,PennEnergy Resources LLC,PennEnergy Resources LLC,PennEnergy,1,Parent,,Ownership data not available,USA,Independent,,"37,21",USA,100%,0%,0%,0%,0%,0%,100%,"187,78",USA,100%,"51,69%","14,72",USA,90%,estimated lower bound interval,,,,,,100167,447,5042186671
153,United Energy Group Ltd,United Energy Group Ltd,United Energy Group,1,Parent,,Chinese - to be checked,China (Hong Kong),Independent,,"36,98","Egypt, Iraq, Oman, Pakistan, Yemen",0%,0%,0%,"0,99%",0%,0%,"0,99%","192,54","Iraq, Pakistan",not applicable,"99,97%","67,87","Egypt, Iraq, Oman, Pakistan",100%,exact number,FY22,,,,,100171,654,0467.HK
154,Mari Petroleum Company Ltd,Mari Petroleum Company Ltd,Mari Petroleum,1,Parent,,,Pakistan,Independent,,"36,96",Pakistan,"0,29%",0%,0%,"0,48%",0%,0%,"0,77%","1,75",Pakistan,not applicable,100%,"47,43","Pakistan, UAE",100%,exact number,FY22,,,,,100141,361,MGAS.PSX
155,MOL NyRt,MOL NyRt,MOL NyRt,1,Parent,,,Hungary,INOC,,"36,95","Angola, Azerbaijan, Croatia, Egypt, Hungary, Iraq, Kazakhstan, Pakistan, Russia, Syria","0,25%",0%,0%,0%,0%,0%,"0,25%","164,82","Angola, Azerbaijan, Croatia, Hungary, Iraq, Kazakhstan",not applicable,"16,56%","39,55","Angola, Azerbaijan, Croatia, Egypt, Hungary, Iraq, Norway, Pakistan, Romania, Russia, Syria, United Kingdom","92,6%",exact lower bound,FY22,,,,,100170,377,5082159928
156,Sinochem Group Co Ltd,Sinochem Group Co Ltd,Sinochem,1,Parent,,Ownership data not available,China,INOC,,"36,87","Brazil, Colombia, Ecuador, Indonesia, Syria, UAE, USA","74,7%",0%,0%,"14,46%",0%,0%,"89,16%","91,36",USA,100%,"90,42%","33,58","Colombia, Ecuador, Indonesia, Syria, USA",NA,data unavailable,,"Amazon Oil and Gas Drilling, Permian Basin","Environmental Destruction, Social Harm",https://gogel.org/lookup/100182,,100182,567,4298149748
157,Northern Oil and Gas Inc,Northern Oil and Gas Inc,Northern Oil and Gas,1,Parent,,,USA,Independent,,"36,61",USA,100%,0%,0%,0%,0%,0%,100%,"267,93",USA,100%,"63,74%","18,98",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100258,,100258,407,NOG.N
158,Magnolia Oil & Gas Corporation,Magnolia Oil & Gas Corporation,Magnolia,1,Parent,,,USA,Independent,,"36,5",USA,93%,0%,0%,0%,0%,0%,93%,"211,25",USA,100%,"80,22%","9,25",USA,100%,exact number,FY22,,,,,100186,356,MGY.N
159,Flywheel Energy LLC,Flywheel Energy LLC,Flywheel,1,Parent,,Ownership data not available,USA,Independent,,"35,68",USA,100%,0%,0%,0%,0%,0%,100%,0,,0%,not applicable,0,,90%,estimated lower bound interval,,,,,,100148,229,5078538009
160,Vedanta Resources Ltd,Vedanta Resources Ltd,Vedanta,1,Parent,,,United Kingdom,Independent,,"35,57",India,"17,82%",0%,0%,0%,0%,0%,"17,82%","184,7",India,"15,97%","37,1%","436,41",India,10%,estimated lower bound interval,FY21-22,,,,,100161,665,VDAN.NS
161,Earthstone Energy Inc,Earthstone Energy Inc,Earthstone,1,Parent,,Ownership data not available,USA,E&P Company,,"34,33",USA,100%,0%,0%,0%,0%,0%,100%,"369,86",USA,100%,"60,85%","21,76",USA,100%,exact number,FY22,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100361,The company is in the process of being acquired by Permian Resources Corporation (also on GOGEL). The transaction is expected to close in Q4 2023.,100361,183,4295912627
162,Merit Energy Company LLC,Merit Energy Company LLC,Merit,1,Parent,,Ownership data not available,USA,Independent,,"34,27",USA,"57,71%",0%,0%,0%,0%,0%,"57,71%","0,45",USA,100%,0%,0,,90%,estimated lower bound interval,,,,,,100115,367,4296086541
163,DNO ASA,DNO ASA,DNO,1,Parent,,,Norway,Independent,,"34,13","Iraq, Norway, United Kingdom, Yemen",0%,0%,0%,0%,0%,"6,18%","6,18%","82,79",Norway,"56,06%","98,42%","149,94","Iraq, Ireland, Netherlands, Norway, United Kingdom, Yemen",100%,exact number,FY22,Barents Sea,"Environmental Destruction, Litigation",https://gogel.org/lookup/100164,,100164,175,DNO.OL
164,Osaka Gas Co Ltd (Daigas Group),Osaka Gas Co Ltd (Daigas Group),Osaka Gas(Daigas),1,Parent,,,Japan,Industrial,,"34,12","Australia, Norway, Oman, USA","89,03%",0%,0%,0%,0%,0%,"89,03%","319,58","Australia, Norway, Papua New Guinea, USA","96,54%","77,05%","43,43","Australia, Norway, Papua New Guinea, Timor-Leste, USA","74,59%",estimated lower bound,FY22-23,,,,,100228,429,9532.T
165,Lundin Energy AB,Lundin Energy AB,Lundin,1,Parent,,Not found,Sweden,Independent,,"34,1",Norway,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"132,2",Norway,NA,data unavailable,,,,,The company's upstream oil & gas assets were acquired by Aker BP ASA in June 2022. The company continues to be listed on GOGEL since it meets our 2021 production criterion.,100108,353,ORRON.ST
166,Galp Energia SGPS SA,Galp Energia SGPS SA,Galp,1,Parent,,,Portugal,Integrated,,34,"Angola, Brazil, Republic of the Congo, Mozambique",0%,0%,0%,0%,"95,37%",0%,"95,37%","243,02",Brazil,100%,"48,8%","53,28","Angola, Brazil, Republic of the Congo, Namibia, Sao Tome and Principe, Venezuela","89,61%",estimated lower bound,FY22,Cabo Delgado,"Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100169,,100169,238,GALP.LS
167,Lewis Energy Group LP,Lewis Energy Group LP,Lewis Energy,1,Parent,,Ownership data not available,USA,Independent,,"33,99","Colombia, USA","95,31%",0%,0%,0%,0%,0%,"95,31%","105,6",USA,100%,"78,88%","30,1","Colombia, USA",90%,estimated lower bound interval,,,,,,100203,342,4297558682
168,Citizen Energy LLC,Citizen Energy LLC,Citizen Energy,1,Parent,,Ownership data not available,USA,E&P Company,,"33,85",USA,100%,0%,0%,0%,0%,0%,100%,"90,86",USA,100%,"94,49%","14,44",USA,90%,estimated lower bound interval,,,,,,100242,123,5040244801
