ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
12,BP plc,BP plc,BP,1,Parent,,,United Kingdom,Major,,"1060,78","Algeria, Angola, Argentina, Australia, Azerbaijan, Bolivia, Canada, Egypt, India, Indonesia, Iraq, Kazakhstan, Mexico, Norway, Oman, Russia, Trinidad and Tobago, UAE, United Kingdom, USA","18,08%","0,54%",0%,0%,"8,04%","0,08%","26,74%","2546,69","Angola, Argentina, Azerbaijan, Egypt, India, Indonesia, Mauritania, Mexico, Norway, Trinidad and Tobago, UAE, United Kingdom, USA","60,45%","49,81%","858,43","Angola, Argentina, Australia, Azerbaijan, Bolivia, Brazil, Canada, Egypt, Gambia, India, Indonesia, Iraq, Kazakhstan, Libya, Mauritania, Mexico, Mozambique, Myanmar, Norway, Oman, Russia, Sao Tome and Principe, Senegal, Trinidad and Tobago, UAE, United Kingdom, USA, Venezuela, Vietnam","89,36%",estimated lower bound,FY22,"Scarborough Gas, Greater Tortue Ahmeyim, Vaca Muerta, Southern Gas Corridor, Barents Sea, Permian Basin","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100010,,100010,67,BP.L
13,Government of Algeria,Sonatrach SpA,Sonatrach,1,Parent,,Holding 100%,Algeria,NOC,,"989,78","Algeria, Peru","0,51%",0%,0%,0%,0%,0%,"0,51%","1335,8",Algeria,not applicable,"37,83%","724,73","Algeria, Libya, Niger, Peru, Tunisia",90%,estimated lower bound interval,FY21,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100015,,100015,582,Sonatrach136.UNL
14,Government of Qatar,QatarEnergy,QatarEnergy,1,Parent,,Government of Quatar investor N/A share,Qatar,NOC,,"982,07","Angola, Argentina, Brazil, Republic of the Congo, Qatar","0,12%",0%,0%,0%,"0,69%",0%,"0,81%","16517,84","Argentina, Brazil, Qatar, South Africa, USA","1,15%","41,78%","324,93","Angola, Argentina, Brazil, Canada, Republic of the Congo, Cote d'Ivoire, Cyprus, Egypt, Guyana, Kenya, Lebanon, Mexico, Morocco, Mozambique, Namibia, Oman, Qatar, South Africa, Suriname","96,48%",exact number,FY22,"Vaca Muerta, Guyana Offshore, South Africa Offshore","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100013,,100013,506,QATAR205.UNL
15,TotalEnergies SE,TotalEnergies SE,TotalEnergies(Total Energies|Total Solar),1,Parent,,,France,Major,,"974,21","Algeria, Angola, Argentina, Australia, Azerbaijan, Bolivia, Brazil, Brunei, Canada, China, Colombia, Republic of the Congo, Denmark, Egypt, Gabon, Indonesia, Iraq, Italy, Kazakhstan, Libya, Myanmar, Netherlands, Nigeria, Norway, Oman, Qatar, Russia, Syria, Thailand, UAE, United Kingdom, USA, Venezuela, Yemen","4,86%","4,06%","0,95%","0,22%","7,4%","5,42%","22,9%","7966,52","Angola, Argentina, Australia, Brazil, Denmark, Egypt, Iraq, Mexico, Mozambique, Nigeria, Norway, Oman, Papua New Guinea, Qatar, Russia, South Africa, UAE, Uganda, United Kingdom, USA","32,11%","57,14%","988,57","Algeria, Angola, Argentina, Australia, Azerbaijan, Bolivia, Brazil, Brunei, Bulgaria, Canada, China, Colombia, Republic of the Congo, Cote d'Ivoire, Cyprus, Denmark, Egypt, Gabon, Greece, Guyana, Iraq, Italy, Kazakhstan, Kenya, Lebanon, Libya, Malaysia, Mauritania, Mexico, Montenegro, Myanmar, Namibia, Netherlands, Nigeria, Nigeria/Sao Tome and Principe, Norway, Oman, Papua New Guinea, Qatar, Russia, Senegal, South Africa, Suriname, Syria, Thailand, Trinidad and Tobago, UAE, Uganda, United Kingdom, USA, Venezuela, Yemen",90%,estimated lower bound interval,FY22,"Vaca Muerta, Guyana Offshore, EACOP, Cabo Delgado, Yamal LNG and Arctic LNG 2, Alberta Tar Sands, Amazon Oil and Gas Drilling, Barents Sea, South Africa Offshore","Conflict/Violence, Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100011,,100011,631,TTEF.PA
16,PJSC LUKOIL,PJSC LUKOIL,LUKOIL,1,Parent,,,Russia,Integrated,,"903,45","Azerbaijan, Republic of the Congo, Egypt, Iraq, Kazakhstan, Mexico, Russia, Uzbekistan",0%,"1,54%",0%,"0,2%",0%,"15,27%","17,01%","1582,74","Cameroon, Republic of the Congo, Egypt, Iraq, Kazakhstan, Russia, UAE, Uzbekistan","26,83%","60,92%","451,46","Azerbaijan, Cameroon, Egypt, Iraq, Kazakhstan, Mexico, Nigeria, Norway, Romania, Russia, UAE, Uzbekistan",90%,estimated lower bound interval,FY22,Southern Gas Corridor,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100016,,100016,483,LKOH.MM
17,Petroleo Brasileiro SA – Petrobras,Petroleo Brasileiro SA – Petrobras,Petroleo Brasileiro(Petrobras),1,Parent,,,Brazil,NOC,,"864,87","Argentina, Bolivia, Brazil, Mexico, USA","0,42%",0%,0%,"6,69%","73,74%",0%,"80,85%","9571,66",Brazil,"94,07%","61,63%","654,09","Argentina, Bolivia, Brazil, Colombia, USA, Venezuela","98,81%",estimated lower bound,FY22,"Vaca Muerta, Amazon Oil and Gas Drilling","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100014,,100014,460,PETR3.SA
18,Mexico,Petroleos Mexicanos (PEMEX),Petroleos Mexicanos(PEMEX),1,Parent,,"Ownership data not available, wikipedia",Mexico,NOC,,"831,25",Mexico,"0,29%",0%,0%,"16,22%",0%,0%,"16,51%","1444,12",Mexico,"56,35%",100%,"2599,43",Mexico,"93,15%",exact lower bound,FY21,,,,,100017,462,5000089102
19,ConocoPhillips,ConocoPhillips,ConocoPhillips,1,Parent,,,USA,Independent,,"743,93","Australia, Canada, China, Indonesia, Libya, Malaysia, Norway, Qatar, USA","59,27%","3,42%","6,66%","0,36%",0%,"12,61%","82,31%","3724,79","Canada, China, Malaysia, Norway, Qatar, USA","73,75%","76,49%","1053,77","Argentina, Australia, Cambodia, Canada, China, Colombia, Indonesia, Libya, Malaysia, Norway, Qatar, USA",100%,exact number,FY22,"Alberta Tar Sands, Permian Basin, Willow and NPR-A","Environmental Destruction, Social Harm",https://gogel.org/lookup/100025,,100025,139,COP.N
20,Eni SpA,Eni SpA,Eni,1,Parent,,,Italy,Major,,"736,91","Algeria, Angola, Australia, China, Republic of the Congo, Cote d'Ivoire, Egypt, Ghana, Indonesia, Iraq, Italy, Kazakhstan, Libya, Mexico, Mozambique, Nigeria, Norway, Oman, Pakistan, Timor-Leste, Tunisia, Turkmenistan, UAE, United Kingdom, USA, Venezuela","0,22%",0%,0%,"1,03%","1,16%","6,78%","8,24%","3307,36","Angola, Republic of the Congo, Cote d'Ivoire, Egypt, Ghana, Italy, Kazakhstan, Libya, Mexico, Nigeria, Norway, Qatar, UAE, United Kingdom, USA, Venezuela","15,77%","70,99%","1010,69","Albania, Algeria, Angola, Argentina, Australia, Bahrain, Canada, China, Republic of the Congo, Cote d'Ivoire, Cyprus, Egypt, Gabon, Ghana, Indonesia, Ireland, Italy, Kazakhstan, Kenya, Lebanon, Libya, Mexico, Montenegro, Morocco, Mozambique, Myanmar, Nigeria, Norway, Oman, Pakistan, South Africa, Timor-Leste, Tunisia, UAE, Ukraine, United Kingdom, USA, Venezuela, Vietnam","93,95%",exact lower bound,FY22,"Cabo Delgado, Barents Sea","Conflict/Violence, Environmental Destruction, Social Harm, Litigation",https://gogel.org/lookup/100019,,100019,206,ENI.MI
21,Government of Norway,Equinor ASA,Equinor,0.67,Parent,,,Norway,INOC,,"736,46","Algeria, Angola, Argentina, Azerbaijan, Brazil, Canada, Libya, Nigeria, Norway, Russia, United Kingdom, USA","10,67%",0%,0%,"1,66%","4,7%","18,81%","35,84%","3295,84","Angola, Argentina, Azerbaijan, Brazil, Canada, Norway, United Kingdom, USA","64,5%","70,62%","1139,57","Algeria, Angola, Argentina, Australia, Azerbaijan, Brazil, Canada, Colombia, Indonesia, Ireland, Libya, Mexico, Nicaragua, Nigeria, Norway, Russia, South Africa, Suriname, Tanzania, United Kingdom, USA, Venezuela","95,89%",exact lower bound,FY22,"Vaca Muerta, Barents Sea","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100018,,100018,217,EQNR.OL
