Parent,Renewables production [PJ],Hydrocarbon production [PJ],% Production from Renewables
Delek Group Ltd,,368.28,0.00%
Encino Energy LLC,,364.38,0.00%
Oil and Gas Development Company Ltd (OGDC),,359.94,0.00%
Diversified Energy Company PLC,,359.76,0.00%
Emirates National Oil Company Ltd (ENOC) LLC,,358.48,0.00%
CrownQuest Operating LLC,,351.12,0.00%
Chord Energy Corporation,,346.75,0.00%
KAR Group,,338.84,0.00%
Matador Resources Company,,331.54,0.00%
PJSC Joint Stock Oil Company Bashneft,,328.99,0.00%
Tecpetrol Internacional SLU,,326.43,0.00%
Whitecap Resources Inc,,326.01,0.00%
Tug Hill Operating LLC,,323.57,0.00%
BKV Corporation LLC,,315.42,0.00%
Neptune Energy Group Ltd,,307.52,0.00%
The South Gas Company,,297.30,0.00%
PureWest Energy LLC,,295.78,0.00%
Callon Petroleum Company,,293.16,0.00%
Crescent Point Energy Corp,,290.18,0.00%
Brunei Energy Services & Trading Sdn Bhd (BEST),,288.84,0.00%
Polskie Gornictwo Naftowe i Gazownictwo SA (PGNiG),,281.06,0.00%
Imperial Oil Ltd,,278.20,0.00%
JSC NK Neftisa,,277.96,0.00%
"Bangladesh Oil, Gas & Mineral Corporation (Petrobangla)",,273.94,0.00%
Missan Oil Company,,273.76,0.00%
BHP Group Ltd,,269.08,0.00%
Pakistan Petroleum Ltd (PPL),,262.08,0.00%
Pluspetrol Resources Corporation BV,,259.16,0.00%
Permian Resources Corporation,,257.95,0.00%
Energie Beheer Nederland BV,,252.11,0.00%
HG Energy LLC,,246.51,0.00%
Birch Operations Inc,,245.84,0.00%
California Resources Corporation,,243.11,0.00%
Azule Energy Holdings Ltd,,242.56,0.00%
Caerus Oil and Gas LLC,,242.31,0.00%
Strathcona Resources Ltd,,241.34,0.00%
JSC Zarubezhneft,,233.43,0.00%
Terra Energy Partners LLC,,232.83,0.00%
Peyto Exploration and Development Corp,,230.03,0.00%
Vital Energy Inc,,228.39,0.00%
PennEnergy Resources LLC,,226.32,0.00%
United Energy Group Ltd,,224.92,0.00%
Mari Petroleum Company Ltd,,224.80,0.00%
MOL NyRt,,224.74,0.00%
Sinochem Group Co Ltd,,224.25,0.00%
Northern Oil and Gas Inc,,222.67,0.00%
Magnolia Oil & Gas Corporation,,222.00,0.00%
Flywheel Energy LLC,,217.01,0.00%
Vedanta Resources Ltd,,216.34,0.00%
Earthstone Energy Inc,,208.80,0.00%
DNO ASA,,207.59,0.00%
Lundin Energy AB,,207.40,0.00%
Lewis Energy Group LP,,206.73,0.00%
Citizen Energy LLC,,205.88,0.00%
Vermilion Energy Inc,,205.58,0.00%
MEG Energy Corp,,204.00,0.00%
Kaiser-Francis Oil Company,,202.11,0.00%
Paramount Resources Ltd,,197.55,0.00%
Verdun Oil Company LLC,,197.12,0.00%
Compania Espanola de Petroleos SA (Cepsa),,196.88,0.00%
SNGN Romgaz SA,,196.76,0.00%
China ZhenHua Oil Co Ltd,,195.91,0.00%
Korea National Oil Corporation (KNOC),,194.33,0.00%
Dhi Qar Oil Company (DQOC),,191.77,0.00%
JX Nippon Oil & Gas Exploration Corporation,,190.25,0.00%
Cheiron Petroleum Corporation,,190.13,0.00%
Baytex Energy Corp,,184.59,0.00%
PJSC Gazprom Neft,,183.32,0.00%
Hunt Oil Company Inc,,181.13,0.00%
Kosmos Energy Ltd,,177.48,0.00%
NEO Energy Group Ltd,,174.38,0.00%
Paloma Resources LLC,,172.98,0.00%
Blackbeard Operating LLC,,172.19,0.00%
Birchcliff Energy Ltd,,171.15,0.00%
Northeast Natural Energy LLC,,169.15,0.00%
Spartan Delta Corp,,163.19,0.00%
Jonah Energy LLC,,160.87,0.00%
Ithaca Energy plc,,158.99,0.00%
Talos Energy Inc,,158.14,0.00%
QuarterNorth Energy LLC,,154.18,0.00%
Japan Organization for Metals and Energy Security (JOGMEC),,154.00,0.00%
NuVista Energy Ltd,,152.54,0.00%
Tullow Oil plc,,151.26,0.00%
Petroleum Sarawak Bhd (PETROS),,151.02,0.00%
Ensign Natural Resources LLC,,150.72,0.00%
Spirit Energy Ltd,,143.97,0.00%
Dubai Petroleum Establishment,,142.44,0.00%
Surge Energy US Holdings Company,,140.44,0.00%
Petro-Hunt LLC,,139.65,0.00%
Grayson Mill Energy LLC,,139.04,0.00%
Slawson Exploration Company Inc,,137.15,0.00%
Camino Natural Resources LLC,,137.09,0.00%
Lime Rock Resources,,135.33,0.00%
Dana Gas PJSC,,134.11,0.00%
SilverBow Resources Inc,,132.23,0.00%
OMV Petrom SA,,130.65,0.00%
Compania General de Combustibles SA (CGC),,129.92,0.00%
Bridas Energy Holdings Ltd,,128.88,0.00%
Scout Energy Partners,,128.88,0.00%
Denbury Inc,,128.82,0.00%
Pacific Energy Corporation Ltd,,127.12,0.00%
Maverick Natural Resources LLC,,126.27,0.00%
LLOG Exploration Company LLC,,125.72,0.00%
Myanma Oil and Gas Enterprise (MOGE),,125.17,0.00%
Posco International Corporation,,124.56,0.00%
Advantage Energy Ltd,,123.77,0.00%
Beach Energy Ltd,,123.29,0.00%
Bonavista Energy Corporation,,122.37,0.00%
Tap Rock Resources LLC,,121.52,0.00%
Ranger Oil Corporation,,120.91,0.00%
International Petroleum Corporation (IPC),,120.79,0.00%
BTA Oil Producers LLC,,120.55,0.00%
State Concern Turkmennebit,,117.63,0.00%
EnQuest PLC,,117.26,0.00%
Parex Resources Inc,,117.02,0.00%
Midland Oil Company,,114.71,0.00%
Vista Energy SAB de CV,,114.65,0.00%
Fasken Oil and Ranch Ltd,,114.16,0.00%
W&T Offshore Inc,,114.10,0.00%
Colgate Energy Partners III LLC,,113.86,0.00%
Mesquite Energy Inc,,113.49,0.00%
The Williams Companies Inc,,113.37,0.00%
KunLun Energy Company Ltd,,113.01,0.00%
Sasol Ltd,,112.64,0.00%
Heritage Petroleum Company Ltd,,111.30,0.00%
SK Innovation Co Ltd,,110.57,0.00%
Oasis Petroleum Inc,,109.05,0.00%
BCE-Mach LLC,,108.38,0.00%
Societe Nationale des Petroles du Congo (SNPC),,108.14,0.00%
Total,316.90,326137.24,0.10%
